Weight,Zone(s),,,,,,,,,,,,,,
132,84.84,84.95,91.52,93.18,105.56,115.76,132.17,500.03,91.54,500.03,106.96,216.79,234.74,216.79,234.74
133,84.85,86.71,91.53,93.19,106.11,115.77,132.18,503.03,91.55,503.03,110.82,218.15,236.1,218.15,236.1
134,86.44,87.36,93.04,95.58,108.94,118.77,133.43,503.05,92.93,503.05,111.25,219.57,237.5,219.57,237.5
135,87.93,89.09,94.73,97.28,109.27,119.39,133.44,506.86,93.53,506.86,111.52,221,238.75,221,238.75
136,88.58,89.31,96.27,98.12,109.28,121.13,135.01,510.71,95.55,510.71,114.27,222.44,240.01,222.44,240.01
137,88.59,89.32,97.9,98.84,110.31,121.14,135.02,524.42,95.8,524.42,114.28,225.21,241.25,225.21,241.25
138,90.23,91.58,98.38,98.92,111.53,121.15,137.43,527.21,96.93,527.21,115.1,226.6,242.46,226.6,242.46
139,91.04,91.59,98.39,98.93,111.54,123.41,138.74,527.22,98.06,527.22,116.3,226.62,243.67,226.62,243.67
140,91.79,92.5,98.62,100.48,112.73,123.42,138.76,527.23,99.23,527.23,117.52,229.37,244.97,229.37,244.97
141,92.68,93.39,100.24,101.25,113.8,124.59,140.07,528.58,101.29,528.58,118.67,229.39,246.18,229.39,246.18
142,93.87,93.88,101.13,102.1,114.43,126.31,140.4,537.4,101.45,537.4,119.83,230.82,247.58,230.82,247.58
143,93.88,93.89,101.14,102.88,114.43,126.32,140.41,541.04,103.61,541.04,119.92,232.23,248.7,232.23,248.7
144,96.52,97.83,105.08,106.09,117.48,129.6,144.53,544.75,105.72,544.75,123.43,234.97,250.09,234.97,250.09
145,96.53,98.8,105.09,106.32,119.23,129.89,144.54,544.76,105.73,544.76,124.16,236.31,252.85,236.31,252.85
146,96.54,99.41,105.1,106.33,119.24,129.9,144.55,547.29,106.02,547.29,127.03,236.42,252.86,236.42,252.86
147,96.79,99.42,105.94,106.38,120.1,129.91,146.34,560.33,107.15,560.33,127.04,237.83,255.59,237.83,255.59
148,96.79,99.43,106.72,108.09,120.49,129.91,146.35,560.34,108.24,560.34,128.16,240.67,255.6,240.67,255.6
149,96.8,99.44,106.73,108.87,120.5,129.92,146.36,561.53,110.53,561.53,128.17,240.68,257.03,240.68,257.03
150,96.81,99.45,106.74,109.59,120.51,129.93,146.37,565.38,110.54,565.38,128.91,242.07,258.4,242.07,258.4
